No,Daerah,Level,SD,SMP,SMA,SMK
142,Kab. Deli Serdang,Kabupaten/Kota,416,232,141,347
143,Kab. Langkat,Kabupaten/Kota,379,82,125,110
144,Kab. Karo,Kabupaten/Kota,65,18,35,31
145,Kab. Simalungun,Kabupaten/Kota,206,134,84,100
146,Kab. Dairi,Kabupaten/Kota,129,73,29,77
147,Kab. Asahan,Kabupaten/Kota,284,34,43,37
148,Kab. Labuhanbatu,Kabupaten/Kota,52,50,16,52
149,Kab. Tapanuli Utara,Kabupaten/Kota,48,20,14,12
150,Kab. Tapanuli Tengah,Kabupaten/Kota,76,36,23,68
151,Kab. Tapanuli Selatan,Kabupaten/Kota,50,15,17,0
152,Kab. Nias,Kabupaten/Kota,56,41,11,5
153,Kab. Mandailing Natal,Kabupaten/Kota,115,29,23,22
154,Kab. Toba,Kabupaten/Kota,34,5,16,30
155,Kab. Nias Selatan,Kabupaten/Kota,311,252,181,197
156,Kab. Pakpak Bharat,Kabupaten/Kota,4,3,1,2
157,Kab. Humbang Hasundutan,Kabupaten/Kota,52,22,28,2
158,Kab. Samosir,Kabupaten/Kota,38,8,9,5
159,Kab. Serdang Bedagai,Kabupaten/Kota,261,85,26,87
160,Kab. Batu Bara,Kabupaten/Kota,134,70,66,82
161,Kab. Padang Lawas utara,Kabupaten/Kota,28,22,2,18
162,Kab. Padang Lawas,Kabupaten/Kota,73,26,40,34
163,Kab. Labuhanbatu Utara,Kabupaten/Kota,107,27,15,227
164,Kab. Labuhanbatu Selatan,Kabupaten/Kota,44,19,19,6
165,Kab. Nias Barat,Kabupaten/Kota,25,2,9,3
166,Kab. Nias Utara,Kabupaten/Kota,49,26,9,12
167,Kota Medan,Kabupaten/Kota,449,217,176,329
168,Kota Binjai,Kabupaten/Kota,20,5,25,104
169,Kota Tebing Tinggi,Kabupaten/Kota,45,4,16,19
170,Kota Pematangsiantar,Kabupaten/Kota,29,6,14,104
171,Kota Tanjung balai,Kabupaten/Kota,108,37,1,4
172,Kota Sibolga,Kabupaten/Kota,40,7,15,0
173,Kota Padang Sidempuan,Kabupaten/Kota,10,38,25,103
174,Kota Gunungsitoli,Kabupaten/Kota,30,21,9,54
175,Provinsi Sumatera Barat,Provinsi,778,309,241,252
176,Kab. Agam,Kabupaten/Kota,71,26,13,1
177,Kab. Pasaman,Kabupaten/Kota,64,5,23,3
178,Kab. Lima puluh Kota,Kabupaten/Kota,43,25,6,2
179,Kab. Solok,Kabupaten/Kota,70,35,26,0
180,Kab. Padang Pariaman,Kabupaten/Kota,84,24,9,8
181,Kab. Pesisir Selatan,Kabupaten/Kota,61,29,24,137
182,Kab. Tanah Datar,Kabupaten/Kota,38,20,8,3
183,Kab. Sijunjung,Kabupaten/Kota,37,13,2,4
184,Kab. Kepulauan Mentawai,Kabupaten/Kota,40,28,26,0
185,Kab. Solok Selatan,Kabupaten/Kota,32,18,1,2
186,Kab. Dharmasraya,Kabupaten/Kota,34,20,8,2
187,Kab. Pasaman Barat,Kabupaten/Kota,65,28,27,16
188,Kota Bukittinggi,Kabupaten/Kota,5,14,22,1
189,Kota Padang,Kabupaten/Kota,81,8,13,17
190,Kota Padang Panjang,Kabupaten/Kota,3,1,1,14
191,Kota Sawahlunto,Kabupaten/Kota,3,0,4,0
192,Kota Solok,Kabupaten/Kota,10,0,1,32
193,Kota Payakumbuh,Kabupaten/Kota,19,15,26,0
194,Kota Pariaman,Kabupaten/Kota,18,0,1,10
195,Provinsi Riau,Provinsi,"1,051",498,232,253
196,Kab. Kampar,Kabupaten/Kota,90,42,60,7
197,Kab. Bengkalis,Kabupaten/Kota,74,26,31,22
198,Kab. Indragiri Hulu,Kabupaten/Kota,132,18,7,11
199,Kab. Indragiri Hilir,Kabupaten/Kota,125,45,29,7
200,Kab. Pelalawan,Kabupaten/Kota,71,25,9,114
201,Kab. Rokan Hulu,Kabupaten/Kota,103,58,6,27
202,Kab. Rokan Hilir,Kabupaten/Kota,157,43,42,22
203,Kab. Siak,Kabupaten/Kota,52,19,6,7
